Date,2379.TW,3034.TW,2345.TW,3231.TW,2492.TW,2409.TW,2356.TW,2324.TW,6239.TW,9921.TW,2377.TW,9904.TW,1476.TW,3037.TW,3044.TW,2354.TW,2360.TW,2337.TW,2347.TW,6176.TW,2313.TW,2385.TW,9914.TW,2834.TW,2353.TW,6213.TW,1504.TW,2383.TW,1605.TW,6269.TW,2371.TW,2449.TW,9945.TW,2344.TW,1722.TW,2542.TW,1434.TW,6278.TW,2458.TW,2448.TW,1229.TW,2376.TW,2809.TW,1717.TW,3023.TW,2889.TW,2101.TW,2404.TW,1477.TW,2915.TW,2812.TW,1227.TW,2439.TW,2027.TW,2903.TW,2603.TW,9933.TW,2618.TW,9917.TW,2352.TW,2498.TW,2845.TW,1536.TW,2059.TW,2610.TW,1707.TW,2451.TW,2615.TW,6285.TW,2201.TW,1319.TW,8046.TW,1723.TW,9941.TW,1802.TW,3005.TW,5522.TW,2606.TW,1210.TW,.TWII,3481.TW,3406.TW,3702.TW,3533.TW,3443.TW,3532.TW,2227.TW,2049.TW,4958.TW,1590.TW,5269.TW,1789.TW,6415.TW,6409.TW,8454.TW,3706.TW,8341.TW,2867.TW,8464.TW,6456.TW,6592.TW
2002-06-30,105.89318472963973,43.8841729550532,41.065266504096286,,21.921404254025866,23.07180250877528,14.606811376575555,19.592169709652367,,25.5928981652712,56.312671297105226,12.38972558241593,5.223735443182883,23.704131425902485,10.745131202670235,10.439046039310783,15.90271004580898,54.01094091896107,17.83918362742135,27.974589964693536,29.523811,17.468671517120562,8.797891945168978,6.993173742982397,23.699233423178786,8.154924552749193,11.5,9.000123006037768,8.5353692,,23.2606038,10.095326108121688,8.903714586855163,18.50625,18.7,1.0781411528350486,12.755473991612034,,39.572538795092456,20.337341889080513,5.309372683670722,53.33257683694437,6.432997800000001,11.03838209371398,21.93715694861657,5.271502350625706,2.6547051374835013,26.79113208581295,,24.334297514013237,7.274321046440724,3.2790082261108635,26.08905466424797,5.336378659897459,5.658098773555027,10.361648489500778,12.141242442451329,15.804773112007494,27.06126760654753,58.94612971450537,28.347703730809542,4.9715092734913044,9.698446686107344,,13.086969215534024,8.0352784,43.242381452176865,12.192126432273545,,20.75874237303369,15.417111708419386,,27.50258774715581,25.97867212110659,11.800981782380132,24.26828690446045,16.443454405100447,6.304343728261499,5.317503929038334,5153.71,,,,,,,,,,,,,,,,,,,,,
2002-07-31,116.34954798217909,39.251954698686475,46.368015560625,,22.101087895452316,22.19287669891717,14.166375571102323,23.876821981931297,,28.232853276875108,58.10988421084264,12.200569466653855,5.130869035304078,19.993261010984842,12.083492740369373,9.401246140665851,15.328379705517811,44.63598038911849,19.888593756942345,32.444756402350734,31.7,23.133017974404712,8.424236302710064,5.927988338422162,23.63073852889214,6.610796826784848,11.95,7.87510763028305,7.491148499999999,,21.361779000000002,10.488650501944608,7.342673717731204,19.884375,19.3,1.1551512351804092,13.195317922357276,,37.666779136405296,30.192692440371623,5.2767998451205935,59.717462796296864,5.8844476000000006,11.954230389698985,22.601919280392828,4.6977333872922955,2.8428338480138287,29.668831162034373,,23.28281552266698,7.023482389666908,3.2088690127181185,29.68460549296666,5.025795774929884,5.006560126903237,10.476069296919526,13.976546532589321,16.734465648007937,25.48488308577777,67.13309217485333,30.935972332318247,4.3360532009397845,7.654166257172957,,12.541678831553444,7.9372872,52.66390590265116,14.804724953475022,,24.325397955559296,16.34930916055637,,28.688044115567692,24.8251653916072,11.800981782380132,29.02011930533383,14.913830739509713,5.833329541667251,5.193263183032762,4940.38,,,,,,,,,,,,,,,,,,,,,
2002-08-31,112.89362081439164,40.95857780814745,46.368015560625,,20.30425148118789,19.409611634366502,15.208922691053575,23.657096626269354,,31.856939961177588,58.10988421084264,12.686183486097164,4.829053209697953,20.25833270489533,12.045253839292258,9.807208551834178,16.031516389257163,40.32629952396221,21.00645382759016,34.62364369682573,30.9,23.99780369307405,9.78298409346975,5.6038014761646995,26.104703540307497,6.996828758275932,11.05,8.056561723146713,7.3549457999999985,,19.225601100000002,13.110813127430761,6.648877775898335,19.884375,17.3,1.0514838166385774,12.671030039003366,,35.848795252894824,32.75622293059185,5.2442270065704655,56.71281058013098,4.9668727200000005,11.954230389698985,24.622806618115305,4.339127785208915,3.1354785088387813,30.97500611885349,23.68914124879669,22.832180383518597,6.270966419345451,2.9283121591471346,29.883831033187924,4.263455966373103,4.663645049718082,8.937396618934477,15.905968781195927,15.10750371000716,22.988939778445324,63.312509693357605,27.36169664452052,4.747230659649592,7.038504706301199,,12.070000114710211,7.104361999999999,57.108955666457206,13.125197332702642,,23.954017834100377,17.125538526816573,,27.63298656603179,23.8636272954534,11.349029288586856,33.51738925616041,15.296236655907395,5.10869233152225,4.845389094217173,4764.94,,,,,,,,,,,,,,,,,,,,,
2002-09-30,107.7097300627104,40.08089399797286,46.368015560625,,15.812160445526855,14.50227586265875,12.75587064410945,22.0457773514151,,30.836890159465,48.22521318528693,11.719075327964196,4.689753597879744,19.529032727519105,10.69351039717779,10.255904367931166,17.086221414866188,34.32352974749457,20.680411306984546,25.28693078981655,27.9,20.192746530928982,8.016611965482157,4.464516217374193,21.50242921672728,5.5492090151843625,9.45,5.262168693046275,6.2653242,,14.7158922,11.799731814687686,5.781632848607247,15.4546875,14.2,0.7552911922333442,11.207228734858573,,31.39859998012168,40.16197768011696,4.560197397017797,55.28561459885585,3.62043132,9.881521088259241,20.421507000769502,3.65777714125049,2.1530285760692967,26.496691981187922,23.125114076206287,22.681968670469125,4.5150958219287265,2.6652901089243377,26.762630903054948,3.614055388713624,3.6691913258811386,6.8421827595505675,14.070664691057935,14.352128524506808,21.05786883705592,48.030179767374726,28.101201959237297,3.723024989772436,7.188260125584202,,11.189356329516766,6.1734456,47.54248085938569,12.938583152616825,,23.211257591182534,18.08104067638145,,25.143528316839728,22.1153762115374,9.491002369658913,31.6505979558173,14.005616688065212,4.81883744746425,4.273881662591556,4191.81,,,,,,,,,,,,,,,,,,,,,
2002-10-31,111.74164509179579,44.469313048845784,37.61933337937499,,19.76520055690857,16.040396029910436,13.369133655845484,28.271329095170184,,35.07402010504035,41.03636153033733,16.099506397154695,4.7594034037888475,20.09626604325617,11.603596388426961,11.730190620821269,17.01590774649225,35.40094996378364,26.08340164844897,31.90043576561471,26.5,21.835839396400708,11.20966927376742,5.233302205013316,24.897549619368423,7.238098715457863,10.0,6.2057299759373326,7.1733422,,18.7508949,9.767555779935918,5.8394491770933215,18.801562500000006,16.5,0.6782811098879837,12.25933592221264,,31.02775037405725,38.16812063216789,5.309372683670722,54.42177687074871,4.308612480000002,10.508154132880557,19.730153899180948,4.088103863750549,2.633801947424576,29.668831162034373,24.7043901594594,21.930910105221805,5.11710859818589,2.8932425524507623,25.235235094692012,4.009342696854179,4.45789600340699,9.36298693412183,15.34125983038424,17.780369751008433,24.552187683379607,54.3614307367105,33.03123739068243,4.410812738887024,8.186629587470897,,16.991244796673598,6.810388400000001,49.86162626716061,15.551181673818295,,35.09542147786799,20.653546463671496,,26.803167149634444,24.3881026206282,9.89273791969739,29.4443900554118,10.324959742737494,5.39854721558025,4.845389094217173,4579.14,,,,,,,,,,,,,,,,,,,,,
2002-11-30,119.22948728866872,45.346996859020386,36.74446516125,,17.069945935511946,17.139053292233065,12.939849547630258,28.124845524728897,,34.13243567269027,40.736826044714434,16.895948409734785,5.154085637273778,19.69109938915826,11.148553392802377,10.448202574829876,16.172143726005032,42.78897430405152,25.617626619012384,28.788198129944988,25.8,19.457678670060037,11.753168390071295,5.372239431695088,23.539501458311964,7.624130646948947,10.5,5.879112608782736,7.808954799999999,,19.34427765,11.340853355227608,7.169224732272986,16.832812500000006,15.8,0.7612150447214489,12.854005202021465,,31.893066121540915,44.157067872141354,5.797965261922629,49.67066936615954,4.85716268,11.086584635607927,20.155601961696984,4.374988345417254,3.4552972476343924,28.269357994013877,27.355317870634273,24.03387408791431,5.167276329540654,3.05105578258444,25.832911715355763,4.1787515432001285,5.212309173214327,9.624888666544814,16.753032207413465,17.710539352731537,24.36827616515205,50.21336975680086,35.74275687797725,5.270547425280256,8.186629587470897,,15.540772679884396,6.9573752,41.454724163976564,14.6181107733892,,34.35266123495015,19.477543818053192,,27.13509491619338,24.8251653916072,11.047727626057997,27.323036305021905,11.854583408328233,5.7970976811599995,5.0938705862283085,4646.69,,,,,,,,,,,,,,,,,,,,,
2002-12-31,103.67781503362495,38.32552637762368,31.057821743437493,,15.991844086953297,14.941738767587804,12.326586535894231,26.367042679433336,,36.01560453739042,34.147045361010626,16.839059694550492,4.875486413637359,15.801499509818358,10.55699749849041,9.775158850684392,14.695556690152396,33.246109531205484,24.453189045420924,25.48144564204591,18.4,17.64162866085443,11.345544052843387,5.835363520634317,23.916737058605424,6.2730188867301475,10.2,5.225877874473543,8.0813602,9.251648534201808,16.25868735,10.291988305033149,6.880143089842624,14.765625,15.7,0.7552911922333442,13.448674481830285,6.467442554097388,27.93733699018701,39.803554138268254,5.635101069171991,41.464210949141886,5.6351066,11.03838209371398,21.00649808672904,5.19978123020903,3.55061579239672,27.24307767079885,30.45746731988145,24.03387408791431,5.606243978894836,3.1211949959771856,23.907064826550325,4.1505167354758035,5.143726157777297,14.142693550841365,17.411859316693768,17.41338265218235,24.184364646924482,42.463045294338116,36.48226219269403,7.2142954119084335,10.682553242187637,,15.385364953085551,7.34934,36.81643334842673,17.417323474676493,,37.04516711552731,22.491050597450094,,28.87771569062781,24.999990499998802,11.95163261364456,22.231787304086147,12.42819228292476,8.65941466123275,5.0938705862283085,4452.45,,,,,,,,,,,,,,,,,,,,,
2003-01-31,95.03799711415621,33.05942351657614,33.8574000414375,,17.069945935511946,16.553102752327668,12.75587064410945,29.882648370024448,5.493152293652823,34.917089366315324,37.74147118848542,20.99193590300382,5.223735443182883,16.287699494735847,11.148553392802377,9.646960046085251,15.328379705517811,35.862701485050366,24.6860765601392,24.50887138089911,21.0,20.36570367466284,11.549356221457346,8.706732872057554,26.25559778042489,5.88698695523906,12.6,5.842821790210003,11.3048241,9.251648534201808,18.988248000000002,10.095326108121688,8.267734973508365,14.9625,17.5,0.9922452917575308,14.91247578597508,7.202379207972088,28.80265273767068,32.02942247063773,6.514567710025424,42.93273508692399,8.427725800000001,12.195243099168716,17.97518064130232,6.490761397709204,3.693593609540212,28.362656205215238,28.201358629519863,23.88366237486484,8.967481979663997,3.191334209369932,24.83678401424951,6.522240584319119,7.475548682636339,16.434333709542514,24.09424856796543,17.829402032951208,26.667170142996568,43.55464028905118,39.686785223133356,9.643980395193658,11.481248811696991,,17.405665401470518,8.1822652,35.656860644539265,18.101575468324498,36.21954277109761,40.85181336048126,26.974560683869893,25.98511973285164,34.022596072291385,25.174815608390396,13.307490095024402,23.080328804242104,11.7111811896791,8.58695094021825,5.516289122647241,5015.16,,,,,,,,,,,,,,,,,,,,,
2003-02-28,88.70213063987913,37.1552812973909,26.24604654375,,17.24962957693839,16.406615117351315,12.265260234720627,24.535998048917126,6.387386387968397,32.484662916077646,32.649367932896126,18.204388858973502,4.921919617576762,12.88429960031343,12.058639384051553,8.973916321939768,14.062733674786987,30.629517577360613,22.63666643061822,24.314356528669748,16.8,19.673875099727365,10.326483209773627,6.437424836255318,23.237712978077198,5.669843993775324,10.55,5.117005418755344,9.3071845,9.982041839533533,15.9026577,9.570893583024457,6.0128981625515365,13.78125,16.2,0.8589586107751759,13.265699318812187,5.879493230997625,27.319254313412966,30.847754457157894,5.667673907722119,40.60037322103476,6.4828660000000005,9.640508378789503,15.209768234948115,5.020478429167339,3.300404612395609,26.403393769986558,30.45746731988145,22.681968670469125,6.521805076119271,2.8406381424062026,27.028264956683287,5.025795774929884,5.6238072658365095,15.452202212956305,21.647176447781444,15.452148428557713,25.103922238062296,41.26229080015375,42.15180293885593,8.447827788037857,10.83230866147064,,14.090300563095186,7.6433136,33.04782206079249,17.603937654762312,35.21344436078934,38.15930747990408,27.415561675976747,21.654266444043035,30.78630034834172,24.038452403845,11.298812344832037,20.534704303774227,11.806782668778524,8.985501405798,5.242959481434991,4432.46,,,,,,,,,,,,,,,,,,,,,
2003-03-31,82.94225202689995,36.8627200273327,25.196204681999998,,17.519155039078047,14.062812957729696,12.817196945283053,25.341657686344266,6.174473508369452,30.993820898190013,33.84750987538772,18.773276010816428,5.038002627425267,11.385182980151177,11.64910068798942,8.044474988596008,12.797087644056154,27.089422580982262,22.59008892767456,21.591148597458744,16.8,17.8145858045883,8.831860639937966,5.74273870284647,23.99218417866411,5.380320045157012,11.15,4.790388051600749,7.445747599999999,9.982041839533533,14.9532453,8.358143368737112,5.446298143388028,12.8953125,16.2,0.8352632008227573,12.80826141126694,4.938774314038004,28.431803131606245,28.29783927017509,5.048789975269704,40.60037322103476,5.236161,9.68871092068345,16.379750406867206,4.590151706667282,3.9080603352554495,23.79104385634831,31.867535251357445,21.930910105221805,6.045211628249017,2.6828249122725247,27.75875860416121,4.263455966373103,5.349475204088389,15.976005677802279,19.764813278409147,12.183424722516664,25.65565679274498,43.66379978852249,34.63349890590209,8.597346863932332,10.982064080753648,,12.432618143907517,7.6433136,33.33771523676435,18.16378019501977,34.14027272312721,38.902067722821926,30.06156762861794,21.82750057559537,30.288408698503307,24.038452403845,12.05206650115418,18.158788103337532,11.328775273281414,8.079704893116753,4.895085392619398,4321.22,,,,,,,,,,,,,,,,,,,,,
