Date,2379.TW,3034.TW,2345.TW,3231.TW,2492.TW,2409.TW,2356.TW,2324.TW,6239.TW,9921.TW,2377.TW,9904.TW,1476.TW,3037.TW,3044.TW,3481.TW,2354.TW,3406.TW,2360.TW,3702.TW,2337.TW,2347.TW,6176.TW,2313.TW,2385.TW,9914.TW,2834.TW,2353.TW,6213.TW,1504.TW,2383.TW,1605.TW,6269.TW,2371.TW,2449.TW,9945.TW,2344.TW,1722.TW,2542.TW,1434.TW,6278.TW,2458.TW,2448.TW,1229.TW,2376.TW,2809.TW,1717.TW,3023.TW,2889.TW,2101.TW,2404.TW,1477.TW,2915.TW,2812.TW,1227.TW,2439.TW,2027.TW,2903.TW,2603.TW,9933.TW,2618.TW,3443.TW,9917.TW,2352.TW,2498.TW,2845.TW,1536.TW,2059.TW,2610.TW,1707.TW,2451.TW,2615.TW,6285.TW,2201.TW,1319.TW,8046.TW,1723.TW,9941.TW,1802.TW,3005.TW,5522.TW,2606.TW,2227.TW,1210.TW,.TWII,.FTSETWMC,2049.TW,3533.TW,3532.TW,1590.TW,1789.TW,6415.TW,4958.TW,5269.TW,6409.TW,3706.TW,2867.TW,8464.TW,8454.TW,6456.TW,8341.TW,6592.TW
2004-06-30,58.4743110686889,74.69091091858516,18.151494,10.428385958707805,22.18471543270132,41.183163359847434,14.16637415446491,30.743247032178825,26.37990446331426,32.17080143862761,25.42396074519936,20.542520188677965,7.1507134066681255,17.291215260715056,21.17497584038872,,20.800253966185004,,24.912306639449024,,33.246109531205484,27.92321022240248,37.76605483672439,10.55,28.58982615154609,9.239484977165873,10.14863380037966,39.372893014966714,9.700370364261893,10.9,6.387184068800996,13.166260999999999,16.945124683695944,31.3306092,19.99399001933192,7.689571688647637,15.159375,27.2,4.916797565126868,13.380970727700028,7.139714283059508,30.90413383870244,49.48078482640131,6.7751504184264375,45.8049932426305,10.971003999999999,8.628254999016606,20.269938088007354,8.67825557041783,9.801674047632398,36.63820570686612,39.2563069148144,18.70135827465832,10.91148156966109,3.577099883030033,52.157254775084745,13.665646938573394,9.910245730650923,18.966926496781046,15.623614305790086,17.014169032012017,,32.22866992395964,54.75442136113582,43.482929898518066,12.484842837188687,11.877879131054595,,19.943989611452675,8.0352784,49.02674176464034,21.28048922623801,18.94818672747236,34.538351295679604,40.8807829745341,29.882887692779388,36.08779579836153,25.87411604195681,15.61026444262615,13.254216907014401,23.90036977485531,32.1014284094235,,4.199337214988215,5839.44,6051.724257,,,,,,,,,,,,,,,,
2004-07-31,49.39311170374784,60.223752497417784,14.579125499999998,8.140525773889255,18.612600235910424,31.977515079410963,12.0414174292243,28.553317106598964,26.911316010265274,33.1123858709777,19.239754077448172,19.82287776168607,7.06945494630142,16.205507517427485,18.62000512616175,,17.803607208344786,,22.33274848964097,,32.630440836183176,26.386152778967475,30.42265528513909,11.0,26.18226184404747,9.035672808551922,8.528664085765067,38.12576564215581,8.887773893957231,10.0,7.004127984537457,12.712252000000001,14.561123264872927,31.8053154,19.049568975866478,6.822326761356554,13.78125,26.7,5.331467239294193,12.6393654286816,6.086313815067119,27.8137204548322,44.0233453234894,6.4494220329251695,39.4557862585035,10.0733764,9.254888043637925,17.26015940221232,8.28378940812611,10.400032056354142,32.268222106655315,36.349318791814326,17.42455871373787,10.660642912887267,3.4192866528963566,52.72387575718646,12.592724245049038,10.63036739273975,16.69623811336359,17.035386682819308,15.258258348992989,,29.83781903939289,52.737153205725534,35.49626930491272,11.886766533610793,10.88805587013338,,20.342868386538306,7.741304799999999,49.02674176464034,20.3521457365028,15.587075892099929,28.271302416530524,40.50225720625137,28.5836317061368,38.8504978690495,24.7272752,15.668295165461194,11.8541235717664,26.29040675234085,30.6666544,,4.124792767384875,5420.57,5575.339332000001,,,,,,,,,,,,,,,,
2004-08-31,60.521806624654,66.35378899438085,15.254979,7.038487642709128,21.244685117756344,35.28831840833987,12.891399835993075,29.06333568467309,30.53399316549329,35.30941621312787,20.634634184599744,20.215409994590736,7.361984116493204,18.698662520108627,21.501672586162965,,18.57568257426713,,24.193810863777717,,26.627671059715514,28.461177481486978,36.82191819457356,11.65,24.79791236723577,11.141731884229436,9.48158744730306,39.612320724533454,12.12038289414584,10.4,7.4033269888375175,15.1639006,17.233389332209153,33.58546365,20.31485400009377,6.359796133467972,14.0765625,27.0,6.308902899831464,13.6485923260288,6.242373143658584,29.791585020509164,40.385052321548116,6.579713387125679,40.3809544,10.9211358,9.92972363015319,18.24294427920661,8.570673889792815,11.625241312308187,33.97779678780262,33.780737378259985,17.199241144163675,11.162320226434908,3.6121694897264063,54.15853904309631,13.778586169470696,11.453363577984115,20.636550308117407,16.44689390724897,17.151000661113628,,33.47191238393434,50.14352272019805,40.82072602894003,12.634361913083165,10.94628076783463,41.766542499426656,21.41984377170798,7.4473312000000025,56.4520070056396,22.944365256775953,15.587075892099929,31.66385870651419,38.27894660213602,27.71746104837508,39.36850450730349,25.1818207,17.35118612767739,13.207547129172802,24.356912765247998,37.3333184,,4.09497408744924,5765.54,5946.3577399999995,,,,,,,,,,,,,,,,
2004-09-30,54.728787350757635,69.03862438721707,14.04809775,8.770179046867723,18.612600235910424,34.40005410057845,11.758089960301376,30.417217781785197,33.12161970494188,37.34951581655303,19.122939372541154,19.889214127854427,8.142061903671292,18.78770377020439,21.61250595000917,,21.13517119619119,,21.247128771394536,,22.471907368314824,27.33400213568552,40.598525188888786,11.1,24.677534151860822,11.549356221457346,9.719818287687561,40.22443164080659,14.037094607638672,10.15,7.475908625982988,15.1639006,16.08813244620792,31.0932561,17.995164789010406,6.244163476495826,13.53515625,29.5,6.45699921203408,15.763162968089599,6.5935066329893806,30.36515238388842,38.367994114934135,7.0357331268274566,39.8095258,14.461778,9.977926172047132,17.567279676273035,9.001000612292872,11.45428188124484,38.144885073099154,35.103945985242525,17.199241144163675,12.604642502884364,3.8050523265564573,52.72387575718646,16.093840402865368,11.8648616706063,23.57375817472229,17.302512665429553,16.646559465198518,,34.5238867731437,50.719885050315256,45.96768713693682,13.980033596133447,12.401903210365827,43.18107176997347,20.223204454852787,7.594317999999999,55.673358633148034,24.893886487743842,14.547937499293266,33.73708755039309,40.15001527515286,26.244971192629862,41.78586881915546,26.1818208,17.293155404842352,13.5809053519056,26.046984263244802,40.9999836,,4.043786911356123,5845.69,6026.2019450000025,,,,,,,,,,,,,,,,
2004-10-31,50.76514258440751,62.51830986175765,13.27569375,9.272928164204089,17.202554763492973,28.747463051187626,10.9081075535326,27.07764194224201,34.156670320721304,38.1341695101781,17.233320857467913,19.67302701776905,8.04455218027403,19.232910020683168,21.889589359624672,,21.910773808895453,,20.1615090531481,,20.93273563075901,26.995849531945076,37.451352693626106,10.25,21.06618769061291,11.413481442381375,11.339788002302154,42.76031972250962,10.880157667768128,9.85,7.258163714546586,15.6179096,13.361330336681151,26.5835472,16.940760602154324,6.995775746814767,11.86171875,29.6,6.220045112509895,13.696650749712,6.4764621365457815,26.154858145786253,31.97332842911177,6.872868934076822,36.0000018,15.957823999999999,9.640508378789503,17.014463182963745,9.2161639735429,10.798937395501973,31.09288951336655,36.19364719099284,19.60262855295511,13.984255115140364,4.015469966734695,54.15853904309631,12.87507232229229,10.836116439050837,20.3881151781382,17.777856419974317,16.709614614687904,,34.045716596230356,45.24444291420168,49.33983406976232,15.400464817130963,12.11077872185959,40.16013701867947,21.180515908336943,7.7903004,51.00146839819854,24.06908904387281,14.317017856447348,35.43336569538493,32.509818193667456,25.807555006086034,41.35419662061047,26.2727299,17.061032513502187,12.694179572915196,25.052824558540802,40.0833173,,4.018193323309565,5705.93,5773.5923,,,,,,,,,,,,,,,,
2004-11-30,51.83227771380948,72.87410351984022,12.6481155,7.76468081219499,16.54453354303149,34.15780019846169,10.58936415099431,27.889971200509272,33.63914501283159,38.1341695101781,14.73902441757125,19.60096464774059,7.995797318575398,17.98633251934259,24.1616733184718,,24.625382953360376,,18.68816800695651,,21.8562386732925,26.770414462784792,41.227959687941336,11.5,17.755786767802306,13.043978791292995,11.292141834225252,43.022652972340964,11.443896407030726,9.85,7.621071900273918,15.436306,11.888857197536698,28.482372,14.761658615985095,7.4004900462172785,12.20625,31.0,6.220045112509895,14.3214102575936,6.281387975806452,22.454902603211604,30.454595328728967,7.654617059279873,36.857144700000006,15.1599328,9.544103295001607,17.383007511836606,9.036861172501208,10.969896826565328,30.879192678223127,34.014244779492195,19.52752269643037,15.301158063202903,4.085609180127439,52.365209935709,13.326829245881493,12.413525794102545,21.52078824359032,17.302512665429553,17.907662454986287,,35.384593091587725,48.270345147317094,46.14516855445397,14.428590823816867,12.11077872185959,40.985650946285645,22.137827361821103,7.5453224,49.054847466969576,23.994107458066352,19.43573660619868,33.36013685150602,37.88914062859085,25.06394748896152,41.61319993973747,27.4545482,17.11906323633723,12.880858684281602,24.953408588070413,44.166649,,4.069380499402681,5844.76,5873.03,,,,,,,,,,,,,,,,
2004-12-31,53.35675647009797,85.14763674423435,15.254979,8.490873981680851,17.202554763492973,37.06484702386268,11.474762491378453,28.612041652302388,37.77934747594933,42.76362630256597,17.460075079276713,20.321588348025173,8.434591073863073,20.5685287721195,25.32542363885691,,26.758290138297113,244.9147710289164,20.85940744344937,,22.164073020803666,26.432261859044342,50.35475992420315,10.5,19.441081783051327,14.538601361128654,12.197419027686353,45.908318720485795,12.853243255187216,10.3,7.911398448855781,15.7087114,12.71880482460794,29.78781405,15.183420290727527,8.556816615938724,12.55078125,34.7,8.056439383822337,15.6670461207232,6.671536297285112,22.83765662485725,31.893395108038998,8.599229377233558,36.5714304,16.257033200000002,10.459951590986607,17.874399950333753,9.144442853126224,11.910173697413786,32.054525271511906,34.247752180724405,22.456651100894927,15.489287055783265,4.3135616236538645,54.51720486457375,13.38329886133014,12.482108809539573,22.7242533756332,19.20388768360863,19.673206640689163,17.06657936039278,37.20163976385845,52.59306262319624,54.309313760241956,15.176186203289248,12.867702391975815,42.97134660998704,21.65917163507903,9.1621772,53.72673770191907,24.81890490193738,20.97520089183817,34.773701972332546,38.12302421271795,25.282655582233442,42.56287877653646,27.3636391,17.409216850512436,14.934328909312,26.1464002337152,43.7499825,102.0,4.274129203775142,6139.69,6232.41,,,,,,,,,,,,,,,,
2005-01-31,50.002903206263255,95.88697831557924,13.56534525,7.960194357825795,14.946482007625036,39.00287824079668,11.687258093070641,27.07764194224201,37.52058482200447,41.194318915315854,16.175134489026902,19.38477753765521,8.385836212164442,19.50003377097043,23.9400065907794,,26.758290138297113,188.0343731507995,19.92887625638101,,19.085729545692047,25.36144528053295,56.64910491472854,9.2,16.311248183303142,14.946225698356562,11.482726506532854,43.72220830522456,11.725765776662026,9.85,5.5887860602008725,13.7110718,11.457888829064913,28.36369545,13.144905529472439,7.631755360161566,11.41875,36.7,7.612150447214491,15.5709292733568,6.515476968693648,22.710071950975376,31.01412857623841,8.208355314632032,31.809525399999995,16.7557152,10.411749049092663,18.12009616958233,9.28788509395958,11.511268358265955,32.054525271511906,35.96013978976064,22.531756957419663,14.799480749655276,4.260957213609305,51.64787829275408,13.10095078408689,12.002027701480362,21.52078824359032,17.68278766906537,19.168765444774056,16.24999661587638,37.010371693093106,51.4403379629618,57.149016440516064,14.428590823816867,12.80947749427457,45.514821954503404,21.300179840022462,8.525234399999999,56.062682819393814,23.69418111484052,22.322232141772734,35.24489034594138,35.86214956615594,24.057890259910717,43.59889205304443,27.7272755,16.712848176491942,15.961064021827204,25.84815232230401,42.9166495,108.5,4.09497408744924,5994.23,6049.84,,,,,,,,,,,,,,,,
2005-02-28,53.35675647009797,98.57181370841543,14.289473999999998,7.932263851307107,15.416497165097525,39.245132142913434,11.333098756916986,26.98738313576787,46.05975240218479,43.1559531493785,16.09954974842398,19.456839907683683,8.532100797260336,20.83565252240676,26.322923913472714,,31.99360777405089,247.86349188059933,21.63485009933969,,18.77789519818088,26.20682678988405,56.963822164254815,9.65,20.404107506050785,14.74241352974261,11.625665010763552,44.15943038827682,11.894887398440805,9.95,6.1694391573645975,13.8018736,12.883272128374415,27.5329596,15.956650027755316,7.631755360161566,11.5171875,36.9,7.2567192979282105,15.474812425990402,6.788580793728713,24.751426733085516,33.412128208421805,8.273500991732288,32.000001600000004,16.6559788,10.459951590986607,19.962817813946632,9.359606214376255,11.112363019118128,35.04628096351967,35.64879658811768,23.583238948765914,15.865545040943998,4.225887606912932,58.462528900825795,12.988011553189592,11.933444686043329,22.7242533756332,16.92223766179374,20.808199331498148,17.148237634844424,43.991656276028,49.99943213766876,66.02308731637258,14.428590823816867,17.234569719569418,58.45531054941124,22.377155225192137,8.623225600000001,64.23849073055541,27.06835247613111,29.05738839144556,35.99879174371553,37.18748987620955,23.620474073366882,44.46223645013443,27.8181846,17.931493356027808,16.1477431331936,25.2516564994816,44.166649,115.0,4.402097144007931,6207.83,6325.8,,,,,,,,,,,,,,,,
2005-03-31,48.6308723256036,109.69470319302263,15.351529500000002,9.189136644648023,16.82654263751498,37.226349625273855,10.801859752686504,25.94940686131526,47.353565671909074,41.586645762128384,14.701232047269778,18.592091467342183,8.605233089808277,23.59593127537518,27.708340961550217,,34.01017456708197,275.2139461570793,22.87555834876419,,13.236876942979965,27.16492583381529,65.77590515099035,8.23,19.8624055368636,14.60653875066664,9.719818287687561,43.284986222172314,11.584831091846373,9.32,5.784756480493631,13.347864600000001,12.883272128374415,26.5835472,16.37841170249775,7.631755360161566,10.77890625,37.85,6.471808843254343,15.811221391772802,6.4764621365457815,22.263525592388774,37.40879426206077,7.4266071894289825,30.80952535,15.0601964,10.339445236251741,20.300650115413426,10.18439909916803,10.428525294864704,36.70243143588112,33.15805097497409,22.757074526993858,13.670706794173087,4.155748393520185,55.37800283611965,11.011575012486825,11.076156993080444,21.874748576544107,18.158131423610133,18.60126909936956,18.128136928264095,41.98334153299192,46.90148461328869,80.93152638781156,13.568856137423632,18.74841705980187,72.73447037827503,20.582196249909348,8.30965376,65.32859845204362,26.093591860647148,27.825816962933946,36.56421779204614,32.743701777794556,33.112405321368016,44.548570889843425,28.59091195,17.38020148909491,21.1414093622448,26.742896056537603,44.0833157,116.5,4.2792479213844565,6005.88,6163.2,,,,,,,,,,,,,,,,
