Date,2330.TW,2317.TW,2454.TW,2412.TW,1301.TW,3008.TW,2891.TW,1303.TW,2308.TW,2882.TW,1216.TW,2886.TW,2881.TW,2884.TW,1326.TW,2002.TW,2892.TW,2207.TW,1101.TW,2885.TW,2382.TW,2327.TW,2880.TW,3045.TW,2303.TW,2912.TW,2474.TW,2357.TW,2887.TW,2883.TW,2801.TW,6505.TW,2890.TW,2395.TW,1402.TW,4904.TW,2888.TW,1102.TW,2301.TW,2633.TW,9910.TW,2823.TW,2105.TW,2408.TW,.TWII,5880.TW,5871.TW,4938.TW,3711.TW,5876.TW,6669.TW
1999-12-31,62.62919519917348,26.113472491086785,,,34.70432628092547,,,41.38433598089468,58.04927729130607,,12.41540388081472,,,,23.05844642828385,15.110512857268404,,19.2380962,20.858382966878352,,88.87041090342622,73.4019944531393,,,65.19093268637076,68.79766708260578,22.570802829376156,429.4400636853207,,,15.964086790828501,,,57.35052149606768,38.01222882126522,,,14.98027625614946,20.058980349326465,,14.211204624055698,6.436529359960613,6.1812058351356,,8448.84,,,,,,
2000-01-31,76.13009955348635,27.787413035387214,,,38.313576214141705,,,44.38320090704648,67.86643448027698,,13.316521904422236,,,,28.99774323556908,16.73880088068095,,25.2380965,24.656668754056813,,94.65060023047832,83.69014461907794,,,71.30258262571803,66.31399679081495,21.925353565770063,491.71535992971775,,,19.762615480607636,,,53.976961408063694,36.4917396684146,,,16.337185337322417,21.67086269882592,,15.810895196920606,8.367488167948794,6.988452865843605,,9744.89,,,,,,
2000-02-29,75.38004931158005,31.916466377994965,,,37.48067238339951,,,40.784562995664324,63.171272346421325,,14.117515703184475,,,,26.78506403285497,15.501301982887423,,24.1904774,27.746799563964718,,82.72895974343334,91.9998043684899,,,65.48196363586351,66.56236381999405,20.998930175667105,496.90496795008414,,,18.889980511334045,,,54.23646603021784,33.95759108033025,,,17.80264714498921,34.32712410971047,,15.401672027117959,8.435241108579962,6.619425651805658,,9435.94,,,,,,
2000-03-31,76.88014979539261,39.39340080920358,,,38.03594160389431,,,42.28399545874022,71.28109785035376,,12.916025005041122,,,,27.60026163385491,14.263803085093883,,23.2380964,22.081559745800234,,96.09564756224134,88.6363706603946,,,68.68330408028349,70.53623628685936,23.05764882034035,494.31016393990103,,,16.68272735375969,,,69.02822949300452,31.93027220986278,,,15.197381709137131,39.103071811931066,,15.252863601735172,8.062599935108556,6.457976245664059,,9854.95,,,,,,
2000-04-30,73.12989858586126,32.13965845056836,,,34.98196089117286,,,38.3854710547429,63.171272346421325,,10.763354170867597,,,,23.93187242935521,14.133540043220881,,22.0952392,16.094431301603663,,83.09022157637409,101.89225645112329,,,61.698561292458066,52.90217721514452,22.02828949800373,432.03486769550386,,,12.524878382514968,,,64.35714629422979,23.668947812707813,,,12.157905367309704,43.58052278276286,,14.062396198672914,6.70754112248527,6.250398437767715,,8777.35,,,,,,
2000-05-31,75.36504830674194,31.470082232848164,,,35.53723011166767,,,40.48467650304916,62.744439425161715,,11.864720644165683,,,,25.44581083121223,14.8499867735224,,24.095239300000003,17.961385332589693,,79.47760324696652,106.83848249243994,,,65.30737118911634,58.862985915442486,18.52846780205921,403.4920235834888,,,13.654170695692548,,,56.00108066054188,25.341485880843486,,,12.592116273285054,42.38653585720771,,14.24840673040139,7.825464642899485,5.927499625484511,,8939.52,,,,,,
2000-06-30,70.08469460372179,31.023698087701398,,,32.205614788698824,,,37.18592508428218,62.1041900432723,,11.714534306897757,,,,22.941989628141,13.677619396665364,,23.7142869,15.708164950365182,,77.38225366300868,93.9782947850166,,,59.7195747237374,57.12441671118893,18.37405471668136,448.17462034678266,,,11.190260194214193,,,54.989012937761004,19.36089521296441,,,10.855272649383664,37.61058815498714,,12.644251399004943,6.334899315523934,4.566711773719584,,8265.09,,,,,,
2000-07-31,60.96408366214158,34.96302767971344,,,38.130345378750945,,,41.23438861114823,64.82524991630227,,13.316521904422236,,,,25.544811117394868,14.328934606030383,,30.285715800000002,17.242928539851818,,77.38225366300868,93.0583200059117,,,52.38559186292754,66.43125578979007,14.205151545669622,428.76548324515045,,,13.294850414226952,,,57.35050429091638,21.236165168146822,,,12.266458093803545,35.7002179991534,,14.845127922381232,6.819332792593413,5.715308691647255,,8114.92,,,,,,
2000-08-31,64.56432482329166,34.3827284651124,,,30.262178872024563,,,33.97713621558615,63.49139703736602,,11.570354497492195,,,,21.744241658465388,13.417093312919363,,23.0,13.627475781495795,,57.15159911058812,84.63984117897103,,,57.6241510492203,53.377078887866276,15.980795488878323,337.0131987647067,,,10.954134342409082,,,60.72406336685265,19.640668359595868,,,9.998250973347531,39.476202595217686,,11.953780332847677,5.29150413414352,4.60130784497025,1571.2949502768265,7616.98,,,,,,
2000-09-30,48.003215482001245,27.854362300850546,,,28.930643001655486,,,27.84145919024728,55.48827976374845,,11.948824037129793,,,,18.31749870369291,13.419700720908933,,21.9,11.680693526996393,,53.35835138200926,52.78613750946582,,59.41806035079901,44.70237172303151,56.85819272837929,14.82276683026395,273.4923864320918,,,9.486054482086214,,,58.36257201369727,18.221544923208885,,,8.223413522457436,23.61706729174763,,13.723112439875674,4.173580725521649,5.715308691647255,998.2344389993954,6185.14,,,,,,
