Date,2330.TW,2317.TW,2454.TW,2412.TW,1301.TW,3008.TW,2891.TW,1303.TW,2308.TW,2882.TW,1216.TW,2886.TW,2881.TW,2884.TW,1326.TW,2002.TW,2892.TW,2207.TW,1101.TW,2885.TW,2382.TW,2327.TW,2880.TW,3045.TW,2303.TW,2912.TW,2474.TW,2357.TW,2887.TW,2883.TW,2801.TW,6505.TW,2890.TW,2395.TW,1402.TW,4904.TW,2888.TW,1102.TW,2301.TW,2633.TW,9910.TW,2823.TW,2105.TW,2408.TW,5880.TW,5871.TW,4938.TW,3711.TW,5876.TW,6669.TW
2001-12-31,1.0915356098262952,0.7704525286497961,1.614638825452972,0.3610548312234086,0.5736194615582721,,,1.0136481100203987,0.9075360298553464,,0.36095084572406544,,,,0.7209493785412808,0.20425531001979522,,0.5309209073509095,0.8827624180207383,,0.8623642115085619,1.166670724178007,,0.5698696794147231,1.1725933095244225,0.33998552431620055,1.2468275314100672,0.9972869469858503,,,1.1976692555757447,,,0.6745292619464656,0.8095833547348451,,,0.38331522864265577,1.5596582926018203,,0.5428485230871359,1.8121988362468673,0.3596756007104597,3.0097301256007256,,,,,,
2002-01-31,1.0548279038352524,0.809934744971586,1.6238814441426492,0.34852377548290664,0.6273893225612008,,,1.092138434020446,0.8917180500681648,2.388905607740128,0.35418600992723426,,2.9590346230174833,,0.7213968340303931,0.20595353457079654,,0.4191562453267244,0.854738768338502,,0.926759567457378,1.1653045978323857,0.4147013749855874,0.5470185401228159,1.1869232366003517,0.3500626226783466,1.4151552012176518,1.0128968237283593,,-0.8097390981481554,1.1566711125479507,,,0.7787366016076611,0.9014170392933056,-1.9932971439636666,,0.33934670714327064,1.69601554059455,,0.525557353481862,1.7958812583986867,0.33299553683583666,3.0312909972313635,,,,,,
2002-02-28,1.0604349677215952,0.8354902200967543,1.6034701565349339,0.3489682093037664,0.6239408131065575,,,1.088449858393611,0.9004483603384874,1.7643105460463664,0.3678697677828001,,2.649670239275681,0.8648563691794837,0.7082686247834499,0.18806472282884443,,0.4091662712477123,0.8773417502208265,,0.9257699388066517,1.1656924762550438,0.846988609634196,0.5503624594566163,1.1827971290395607,0.34655798506812485,1.4172455860054125,1.0149534810180458,,-0.2594026313773957,1.1628162660833112,,,0.7915728444029384,0.9025178174092883,-1.2256013816497031,,0.3542711918245748,1.7616117620512766,,0.5230119474508996,1.8135788688942038,0.3315321459524716,3.0202690513667534,,,,,,
2002-03-31,1.0885375981275616,0.7897607776911141,1.5924771414445962,0.34379532549850966,0.6019842162318302,,,1.0988580481045749,0.8952590127851894,1.596076750829411,0.39992729132263605,0.1970285104710905,0.9913324801416021,0.05971062076318981,0.7009279702076341,0.16573475264880086,,0.4428595908487048,0.9675778709926902,1.1970411390885016,0.9121230055350307,1.18714567118172,0.943584844475891,0.5494656162606808,1.2040960112649446,0.33023625229900316,1.6164529792857758,0.9739873482016459,0.3686770772204766,0.8512903033352759,1.2001169874017577,,,0.7422346002291871,0.9218099226362984,-0.24972598508261795,0.2416883061778685,0.4097210724645526,1.7933813867473962,,0.5232241354454762,1.8145494741253145,0.329784618751737,2.9261373242640163,,,,,,
2002-04-30,1.1189336607234979,0.7557506952864265,1.6061390821205697,0.3420250395808291,0.5985496976498701,2.708106101598468,,1.1077816779072944,0.8870860591069354,1.3769944795280686,0.3543985475948765,-0.021131327195098665,0.9033329326910478,-0.020837415781639293,0.6876110012841441,0.17065324296377576,,0.4349172862463071,0.900691948342961,1.0319631697582279,0.9044026396892806,1.2937469916541038,0.7273667895265304,0.5508363441368413,1.2136068490717924,0.25333662066402374,1.669780007434917,0.9762269332145264,-0.05697253024325666,0.8126708061139882,1.140385907833985,,,0.7490146985272867,0.8546121518674528,-0.24374395193330825,0.06208891808999081,0.3379719346422186,1.9104246631284953,,0.506921562621304,1.8207410440985603,0.32555319828985113,2.927589753381942,,,,,,
2002-05-31,1.1077007468294826,0.7431338421953766,1.6728560928853222,0.3258270276366201,0.57447918645483,0.4296019669935392,,1.1118152184434535,0.8779743909421596,-1.342673852488139,0.3345081450325719,-0.2934425109392108,0.7208619810565817,0.025157993038581662,0.6610441882005247,0.15437641590837725,,0.4052074532080082,0.9016523125300536,1.2591226918221339,0.9214415423484044,1.3395518231260275,-1.6882748425240814,0.5412053599479534,1.2259065975232337,0.22701801251734027,1.6989463467058048,0.9894153929538984,-0.6105849736493767,0.8187178945651314,1.126046599662439,,,0.7512110086492225,0.860808951027603,-0.14911875217595927,0.3784354287023756,0.34173868983713745,1.9107572450870955,,0.47251228510236176,1.811076634094496,0.2456701611600416,2.9324214262131836,,,,,,
2002-06-30,1.1182287643966875,0.7692923103899307,1.656059007895343,0.31136516337027337,0.5695694576776077,1.0898364884449483,0.6138628899379152,1.0924035928610973,0.9088634538609224,-0.956421865829668,0.36167003154304056,-0.4509488124157045,0.6313625184236941,0.1470355392206964,0.6560610050481165,0.1220346604418294,,0.3276191573755073,0.8311718127720833,0.8467547706727402,0.9330981665927119,1.3777457301014413,-0.9598124969453733,0.5228212280834202,1.228276862038645,0.22928681465753137,1.7867051256650668,1.04203012249617,0.053940521540460556,0.5464216811678687,1.0889339638658275,,0.8890808432883336,0.7857960395638023,0.7882729718158987,-0.022990653758796317,1.121936170031132,0.2911522554950905,1.9247099092707152,,0.5090180163743139,1.7541336862798138,0.2275207780625228,2.8661249479878372,,,,,,
2002-07-31,1.1405870531768452,0.7510869927161168,1.655202354219575,0.3281290971369113,0.5515813839996339,0.9857048533027857,0.6148034893657858,1.0744868717498086,0.8908964300442215,-0.7647313656641339,0.3682513433734078,-0.2492093215472149,0.613357177891428,0.20652058013108282,0.6345985048592525,0.13543872727039896,,0.3281054463022945,0.8241354862129575,0.8606713282059717,0.925020040521205,1.3764005820126402,-0.7613396686184889,0.5297511366571117,1.2419451448787941,0.24464210302068318,1.7519962843866788,1.0442019146914436,0.3394186152797488,0.6584881814654695,1.1057048824022457,,0.7392947240382397,0.7774942631691585,0.8049196229561053,0.07688379777238123,1.5326585450527028,0.2767830298759098,1.8868875060814232,,0.508458336649839,1.7745087116063898,0.2061694516745788,2.8408854620962334,,,,,,
2002-08-31,1.1636688841208707,0.760855811384817,1.6306835048609065,0.33765435437956803,0.5234200595126739,1.0159879630765323,0.8467301552456774,1.0544794672217679,0.9014252248679128,-0.615378332950615,0.3543441622490946,-0.14377101571157838,0.6848447545176375,0.1476800867824611,0.6179917040126539,0.12044919177888132,,0.28761580323252506,0.8014342591086934,0.9432709200545653,0.8904271978513605,1.3788305166426538,-0.6587779956380788,0.5336307853369477,1.2728119752315195,0.1996099498016522,1.8079466890865223,1.023005032852352,0.22847621233797016,0.6849886189922204,1.086546544831902,,0.3782609666619681,0.7997593225452073,0.8030580374947972,0.14672453956072934,1.5619979830419544,0.26630944521631694,1.9232846477067773,,0.47048139189395455,1.742073480351622,0.15305179723632598,2.8266844053668763,,,,,,
2002-09-30,1.1538846037161048,0.7345263202913489,1.4821400009074461,0.28462837397002916,0.6150242653218622,0.2540927636329085,1.1853524208652937,1.0721490869316213,0.9121512860979717,-0.1897444631968665,0.434776090909371,0.4792011523636381,0.5793066543143461,0.18003805708314757,0.6347304153522706,0.15409556191987195,,0.3548298279649371,0.8816067781644867,0.5759727739317356,0.966434294739083,1.3351529947924257,0.3300991048374341,0.5022554876560325,1.2844723711068569,0.2701437080308849,1.9326906902513217,0.9749986924155212,0.5791473887326167,1.091835741317719,1.163080851391534,,0.3836910232076852,0.8023467666250009,0.9075358811759678,0.26120621364871766,1.9760889210716885,0.2501404748806327,1.8889724235404284,,0.6333488523619739,1.8436524338328955,0.3793416101110987,2.939079574514,,,,,,
